aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
1000000.0,4,5,0,1,0,1
1000000.0,4,5,0,1,1,1
1000000.0,4,5,1,0,0,1
1000000.0,4,5,1,0,1,1
1000000.0,4,5,1,1,0,1
1000000.0,4,5,1,1,1,1
1000000.0,4,6,0,0,0,1
1000000.0,4,6,0,0,1,1
1000000.0,4,6,0,1,0,1
1000000.0,4,6,0,1,1,1
1000000.0,4,6,1,0,0,1
1000000.0,4,6,1,0,1,1
1000000.0,4,6,1,1,0,1
1000000.0,4,6,1,1,1,1
1000000.0,4,7,0,0,0,1
1000000.0,4,7,0,0,1,1
1000000.0,4,7,0,1,0,1
1000000.0,4,7,0,1,1,1
1000000.0,4,7,1,0,0,1
1000000.0,4,7,1,0,1,1
1000000.0,4,7,1,1,0,1
1000000.0,4,7,1,1,1,1
1000000.0,4,8,0,0,0,1
1000000.0,4,8,0,0,1,1
1000000.0,4,8,0,1,0,1
1000000.0,4,8,0,1,1,1
1000000.0,4,8,1,0,0,1
1000000.0,4,8,1,0,1,1
1000000.0,4,8,1,1,0,1
1000000.0,4,8,1,1,1,1
1000000.0,4,9,0,0,0,1
1000000.0,4,9,0,0,1,1
1000000.0,4,9,0,1,0,1
1000000.0,4,9,0,1,1,1
1000000.0,4,9,1,0,0,1
1000000.0,4,9,1,0,1,1
1000000.0,4,9,1,1,0,1
1000000.0,4,9,1,1,1,1
1000000.0,4,10,0,0,0,1
1000000.0,4,10,0,0,1,1
1000000.0,4,10,0,1,0,1
1000000.0,4,10,0,1,1,1
1000000.0,4,10,1,0,0,1
1000000.0,4,10,1,0,1,1
1000000.0,4,10,1,1,0,1
1000000.0,4,10,1,1,1,1
1000000.0,4,11,0,0,0,1
1000000.0,4,11,0,0,1,1
1000000.0,4,11,0,1,0,1
1000000.0,4,11,0,1,1,1
1000000.0,4,11,1,0,0,1
1000000.0,4,11,1,0,1,1
1000000.0,4,11,1,1,0,1
1000000.0,4,11,1,1,1,1
7167.969656794982,5,0,0,0,0,0
7095.340050363633,5,0,0,0,1,0
6780.478023200643,5,0,0,1,0,0
6531.830465060016,5,0,0,1,1,0
7035.664674315636,5,0,1,0,0,0
6939.6396137808315,5,0,1,0,1,0
6710.816907467399,5,0,1,1,0,0
6533.621657874676,5,0,1,1,1,0
7100.090879720417,5,1,0,0,0,0
7033.335412859949,5,1,0,0,1,0
6758.726715495674,5,1,0,1,0,0
6514.169607292306,5,1,0,1,1,0
6992.919876299311,5,1,1,0,0,0
1000000.0,5,1,1,0,1,1
6690.665257234352,5,1,1,1,0,0
1000000.0,5,1,1,1,1,1
1000000.0,5,2,0,0,0,1
1000000.0,5,2,0,0,1,1
1000000.0,5,2,0,1,0,1
1000000.0,5,2,0,1,1,1
1000000.0,5,2,1,0,0,1
1000000.0,5,2,1,0,1,1
1000000.0,5,2,1,1,0,1
1000000.0,5,2,1,1,1,1
1000000.0,5,3,0,0,0,1
1000000.0,5,3,0,0,1,1
1000000.0,5,3,0,1,0,1
1000000.0,5,3,0,1,1,1
1000000.0,5,3,1,0,0,1
1000000.0,5,3,1,0,1,1
1000000.0,5,3,1,1,0,1
1000000.0,5,3,1,1,1,1
1000000.0,5,4,0,0,0,1
1000000.0,5,4,0,0,1,1
1000000.0,5,4,0,1,0,1
1000000.0,5,4,0,1,1,1
1000000.0,5,4,1,0,0,1
1000000.0,5,4,1,0,1,1
1000000.0,5,4,1,1,0,1
1000000.0,5,4,1,1,1,1
1000000.0,5,5,0,0,0,1
1000000.0,5,5,0,0,1,1
1000000.0,5,5,0,1,0,1
1000000.0,5,5,0,1,1,1
1000000.0,5,5,1,0,0,1
1000000.0,5,5,1,0,1,1
1000000.0,5,5,1,1,0,1
1000000.0,5,5,1,1,1,1
1000000.0,5,6,0,0,0,1
1000000.0,5,6,0,0,1,1
1000000.0,5,6,0,1,0,1
1000000.0,5,6,0,1,1,1
1000000.0,5,6,1,0,0,1
1000000.0,5,6,1,0,1,1
1000000.0,5,6,1,1,0,1
1000000.0,5,6,1,1,1,1
1000000.0,5,7,0,0,0,1
1000000.0,5,7,0,0,1,1
1000000.0,5,7,0,1,0,1
1000000.0,5,7,0,1,1,1
1000000.0,5,7,1,0,0,1
1000000.0,5,7,1,0,1,1
1000000.0,5,7,1,1,0,1
1000000.0,5,7,1,1,1,1
1000000.0,5,8,0,0,0,1
1000000.0,5,8,0,0,1,1
1000000.0,5,8,0,1,0,1
1000000.0,5,8,0,1,1,1
1000000.0,5,8,1,0,0,1
1000000.0,5,8,1,0,1,1
1000000.0,5,8,1,1,0,1
1000000.0,5,8,1,1,1,1
1000000.0,5,9,0,0,0,1
1000000.0,5,9,0,0,1,1
1000000.0,5,9,0,1,0,1
1000000.0,5,9,0,1,1,1
1000000.0,5,9,1,0,0,1
1000000.0,5,9,1,0,1,1
1000000.0,5,9,1,1,0,1
1000000.0,5,9,1,1,1,1
1000000.0,5,10,0,0,0,1
1000000.0,5,10,0,0,1,1
1000000.0,5,10,0,1,0,1
1000000.0,5,10,0,1,1,1
1000000.0,5,10,1,0,0,1
1000000.0,5,10,1,0,1,1
1000000.0,5,10,1,1,0,1
1000000.0,5,10,1,1,1,1
1000000.0,5,11,0,0,0,1
1000000.0,5,11,0,0,1,1
1000000.0,5,11,0,1,0,1
1000000.0,5,11,0,1,1,1
1000000.0,5,11,1,0,0,1
1000000.0,5,11,1,0,1,1
1000000.0,5,11,1,1,0,1
1000000.0,5,11,1,1,1,1
7138.137911998821,6,0,0,0,0,0
7071.658089216538,6,0,0,0,1,0
6773.931091324483,6,0,0,1,0,0
6524.892629561476,6,0,0,1,1,0
7022.69816273603,6,0,1,0,0,0
6935.547118596276,6,0,1,0,1,0
6702.9759275808665,6,0,1,1,0,0
6526.754636406237,6,0,1,1,1,0
7132.324063674391,6,1,0,0,0,0
7035.331847724815,6,1,0,0,1,0
6774.749985194132,6,1,0,1,0,0
6535.319223711301,6,1,0,1,1,0
6994.816326925435,6,1,1,0,0,0
1000000.0,6,1,1,0,1,1
6703.509564607122,6,1,1,1,0,0
6537.514885708445,6,1,1,1,1,0
1000000.0,6,2,0,0,0,1
1000000.0,6,2,0,0,1,1
6751.588582983148,6,2,0,1,0,0
6518.139040167074,6,2,0,1,1,0
6996.81268559515,6,2,1,0,0,0
6930.1792302042995,6,2,1,0,1,0
6686.7267245203475,6,2,1,1,0,0
6541.003344622973,6,2,1,1,1,0
1000000.0,6,3,0,0,0,1
1000000.0,6,3,0,0,1,1
1000000.0,6,3,0,1,0,1
1000000.0,6,3,0,1,1,1
1000000.0,6,3,1,0,0,1
1000000.0,6,3,1,0,1,1
1000000.0,6,3,1,1,0,1
1000000.0,6,3,1,1,1,1
1000000.0,6,4,0,0,0,1
1000000.0,6,4,0,0,1,1
1000000.0,6,4,0,1,0,1
1000000.0,6,4,0,1,1,1
1000000.0,6,4,1,0,0,1
1000000.0,6,4,1,0,1,1
1000000.0,6,4,1,1,0,1
1000000.0,6,4,1,1,1,1
1000000.0,6,5,0,0,0,1
1000000.0,6,5,0,0,1,1
1000000.0,6,5,0,1,0,1
1000000.0,6,5,0,1,1,1
1000000.0,6,5,1,0,0,1
1000000.0,6,5,1,0,1,1
1000000.0,6,5,1,1,0,1
1000000.0,6,5,1,1,1,1
1000000.0,6,6,0,0,0,1
1000000.0,6,6,0,0,1,1
1000000.0,6,6,0,1,0,1
1000000.0,6,6,0,1,1,1
1000000.0,6,6,1,0,0,1
1000000.0,6,6,1,0,1,1
1000000.0,6,6,1,1,0,1
1000000.0,6,6,1,1,1,1
1000000.0,6,7,0,0,0,1
1000000.0,6,7,0,0,1,1
1000000.0,6,7,0,1,0,1
1000000.0,6,7,0,1,1,1
1000000.0,6,7,1,0,0,1
1000000.0,6,7,1,0,1,1
1000000.0,6,7,1,1,0,1
1000000.0,6,7,1,1,1,1
1000000.0,6,8,0,0,0,1
1000000.0,6,8,0,0,1,1
1000000.0,6,8,0,1,0,1
1000000.0,6,8,0,1,1,1
1000000.0,6,8,1,0,0,1
1000000.0,6,8,1,0,1,1
1000000.0,6,8,1,1,0,1
1000000.0,6,8,1,1,1,1
1000000.0,6,9,0,0,0,1
1000000.0,6,9,0,0,1,1
1000000.0,6,9,0,1,0,1
1000000.0,6,9,0,1,1,1
1000000.0,6,9,1,0,0,1
1000000.0,6,9,1,0,1,1
1000000.0,6,9,1,1,0,1
1000000.0,6,9,1,1,1,1
1000000.0,6,10,0,0,0,1
1000000.0,6,10,0,0,1,1
1000000.0,6,10,0,1,0,1
1000000.0,6,10,0,1,1,1
1000000.0,6,10,1,0,0,1
1000000.0,6,10,1,0,1,1
1000000.0,6,10,1,1,0,1
1000000.0,6,10,1,1,1,1
1000000.0,6,11,0,0,0,1
1000000.0,6,11,0,0,1,1
1000000.0,6,11,0,1,0,1
1000000.0,6,11,0,1,1,1
1000000.0,6,11,1,0,0,1
1000000.0,6,11,1,0,1,1
1000000.0,6,11,1,1,0,1
1000000.0,6,11,1,1,1,1
7132.7934584873865,7,0,0,0,0,0
7067.828462673277,7,0,0,0,1,0
6775.23624712604,7,0,0,1,0,0
6526.879521555812,7,0,0,1,1,0
7023.803302015723,7,0,1,0,0,0
6884.006222259766,7,0,1,0,1,0
6704.424392807827,7,0,1,1,0,0
6528.734424481326,7,0,1,1,1,0
7133.695516898138,7,1,0,0,0,0
7031.14593739669,7,1,0,0,1,0
6776.778444570558,7,1,0,1,0,0
6528.790081941951,7,1,0,1,1,0
6992.358736627342,7,1,1,0,0,0
1000000.0,7,1,1,0,1,1
1000000.0,7,1,1,1,0,1
6530.634600728969,7,1,1,1,1,0
7136.225318173099,7,2,0,0,0,0
1000000.0,7,2,0,0,1,1
6753.058353765823,7,2,0,1,0,0
1000000.0,7,2,0,1,1,1
1000000.0,7,2,1,0,0,1
6922.924625171967,7,2,1,0,1,0
6688.461833490144,7,2,1,1,0,0
1000000.0,7,2,1,1,1,1
1000000.0,7,3,0,0,0,1
1000000.0,7,3,0,0,1,1
1000000.0,7,3,0,1,0,1
1000000.0,7,3,0,1,1,1
1000000.0,7,3,1,0,0,1
1000000.0,7,3,1,0,1,1
1000000.0,7,3,1,1,0,1
1000000.0,7,3,1,1,1,1
1000000.0,7,4,0,0,0,1
1000000.0,7,4,0,0,1,1
1000000.0,7,4,0,1,0,1
1000000.0,7,4,0,1,1,1
1000000.0,7,4,1,0,0,1
1000000.0,7,4,1,0,1,1
1000000.0,7,4,1,1,0,1
1000000.0,7,4,1,1,1,1
1000000.0,7,5,0,0,0,1
1000000.0,7,5,0,0,1,1
1000000.0,7,5,0,1,0,1
1000000.0,7,5,0,1,1,1
1000000.0,7,5,1,0,0,1
1000000.0,7,5,1,0,1,1
1000000.0,7,5,1,1,0,1
1000000.0,7,5,1,1,1,1
1000000.0,7,6,0,0,0,1
1000000.0,7,6,0,0,1,1
1000000.0,7,6,0,1,0,1
1000000.0,7,6,0,1,1,1
1000000.0,7,6,1,0,0,1
1000000.0,7,6,1,0,1,1
1000000.0,7,6,1,1,0,1
1000000.0,7,6,1,1,1,1
1000000.0,7,7,0,0,0,1
1000000.0,7,7,0,0,1,1
1000000.0,7,7,0,1,0,1
1000000.0,7,7,0,1,1,1
1000000.0,7,7,1,0,0,1
1000000.0,7,7,1,0,1,1
1000000.0,7,7,1,1,0,1
1000000.0,7,7,1,1,1,1
1000000.0,7,8,0,0,0,1
1000000.0,7,8,0,0,1,1
1000000.0,7,8,0,1,0,1
1000000.0,7,8,0,1,1,1
