,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
388,2073.917201365224,3,0,1,1,1,0
389,1000000.0,3,0,1,1,2,1
390,2376.9233724893215,3,0,2,0,0,0
391,2377.6273347884007,3,0,2,0,1,0
392,1000000.0,3,0,2,0,2,1
393,2076.2459325445116,3,0,2,1,0,0
394,1000000.0,3,0,2,1,1,1
395,1000000.0,3,0,2,1,2,1
396,2488.4838799367244,3,1,0,0,0,0
397,2488.7540829068976,3,1,0,0,1,0
398,1000000.0,3,1,0,0,2,1
399,2260.1454561980586,3,1,0,1,0,0
400,2138.2985546239042,3,1,0,1,1,0
401,1000000.0,3,1,0,1,2,1
402,2486.416385405678,3,1,1,0,0,0
403,2438.5817518096737,3,1,1,0,1,0
404,1000000.0,3,1,1,0,2,1
405,2072.1147456033964,3,1,1,1,0,0
406,1000000.0,3,1,1,1,1,1
407,1000000.0,3,1,1,1,2,1
408,2377.732556481506,3,1,2,0,0,0
409,1000000.0,3,1,2,0,1,1
410,1000000.0,3,1,2,0,2,1
411,2079.334025318233,3,1,2,1,0,0
412,1000000.0,3,1,2,1,1,1
413,1000000.0,3,1,2,1,2,1
414,1000000.0,3,2,0,0,0,1
415,1000000.0,3,2,0,0,1,1
416,1000000.0,3,2,0,0,2,1
417,2260.882746641436,3,2,0,1,0,0
418,1000000.0,3,2,0,1,1,1
419,1000000.0,3,2,0,1,2,1
420,1000000.0,3,2,1,0,0,1
421,1000000.0,3,2,1,0,1,1
422,1000000.0,3,2,1,0,2,1
423,1000000.0,3,2,1,1,0,1
424,2085.427738086855,3,2,1,1,1,0
425,1000000.0,3,2,1,1,2,1
426,1000000.0,3,2,2,0,0,1
427,1000000.0,3,2,2,0,1,1
428,1000000.0,3,2,2,0,2,1
429,1000000.0,3,2,2,1,0,1
430,1000000.0,3,2,2,1,1,1
431,1000000.0,3,2,2,1,2,1
432,1000000.0,3,3,0,0,0,1
433,1000000.0,3,3,0,0,1,1
434,1000000.0,3,3,0,0,2,1
435,1000000.0,3,3,0,1,0,1
436,1000000.0,3,3,0,1,1,1
437,1000000.0,3,3,0,1,2,1
438,1000000.0,3,3,1,0,0,1
439,1000000.0,3,3,1,0,1,1
440,1000000.0,3,3,1,0,2,1
441,1000000.0,3,3,1,1,0,1
442,1000000.0,3,3,1,1,1,1
443,1000000.0,3,3,1,1,2,1
444,1000000.0,3,3,2,0,0,1
445,1000000.0,3,3,2,0,1,1
446,1000000.0,3,3,2,0,2,1
